total_cases,new_cases,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,cases_test_ratio,target,cases_lag_1,cases_lag_2
12485509.0,0.0,164623.0,0.0,438.71,8759.16,115.49,0.0,0.31,1.5,255214803.0,1173219.0,181.32,0.83,1179373.0,0.84,0.11,9.5,101595147.0,88885961.0,12709186.0,3519987.0,3659357.0,7.17,6.27,0.9,2582.0,3306642.0,0.23,69.91,0.0,13.680030983150305,0.0,0.0
13358805.0,873296.0,169275.0,4652.0,664.57,9371.82,118.75,3.26,0.47,1.5,256626850.0,1412047.0,182.32,1.0,1214420.0,0.86,0.11,9.1,104528565.0,91587400.0,12941165.0,2933418.0,3631915.0,7.38,6.46,0.91,2563.0,3272652.0,0.23,69.91,0.7191048244389713,0.0,0.0,0.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.5,257806986.0,1180136.0,183.16,0.84,1255333.0,0.89,0.11,8.8,108533085.0,95043039.0,13490046.0,4004520.0,3631737.0,7.66,6.71,0.95,2563.0,3252247.0,0.23,69.91,0.0,0.0,873296.0,0.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.5,259207108.0,1400122.0,184.15,1.0,1282263.0,0.91,0.12,8.4,111179578.0,97301914.0,13877664.0,2646493.0,3443158.0,7.85,6.87,0.98,2430.0,3052128.0,0.22,69.91,0.0,0.0,0.0,873296.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.49,260618866.0,1411758.0,185.16,1.0,1311324.0,0.93,0.12,8.0,114493238.0,100179199.0,14314039.0,3313660.0,3470652.0,8.08,7.07,1.01,2449.0,3059453.0,0.22,69.91,0.0,0.0,0.0,0.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.49,262003415.0,1384549.0,186.14,0.98,1332291.0,0.95,0.13,7.6,117223509.0,102349255.0,14874254.0,2730271.0,3269892.0,8.27,7.22,1.05,2307.0,2841819.0,0.2,69.91,0.0,0.0,0.0,0.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.48,263476625.0,1473210.0,187.19,1.05,1347863.0,0.96,0.14,7.1,119937641.0,104408484.0,15529157.0,2714132.0,3123212.0,8.46,7.37,1.1,2204.0,2663519.0,0.19,69.91,0.0,0.0,0.0,0.0
13358805.0,0.0,169275.0,0.0,664.57,9371.82,118.75,0.0,0.47,1.48,264972022.0,1495397.0,188.25,1.06,1393888.0,0.99,0.15,6.8,122622590.0,106431076.0,16191514.0,2684949.0,3003920.0,8.65,7.51,1.14,2120.0,2506445.0,0.18,69.91,0.0,14.172698870106998,0.0,0.0
14788109.0,1429304.0,177150.0,7875.0,1125.0,10374.54,124.28,5.52,0.79,1.47,266538416.0,1566394.0,189.36,1.11,1415938.0,1.01,0.15,6.5,123852566.0,107371770.0,16480796.0,1229976.0,2760572.0,8.74,7.58,1.16,1948.0,2254910.0,0.16,69.91,1.0,0.0,0.0,0.0
14788109.0,0.0,177150.0,0.0,1125.0,10374.54,124.28,0.0,0.79,1.46,267894549.0,1356133.0,190.32,0.96,1441080.0,1.02,0.16,6.2,127129113.0,109659181.0,17469932.0,3276547.0,2656575.0,8.97,7.74,1.23,1875.0,2088020.0,0.15,73.61,0.0,0.0,1429304.0,0.0
